# hp6633 V20160217
# 
# Start: Mon Jan  9 14:06:40 2017
# min	Volt	Ampere
0.0019	0.0520	-0.0005
0.0054	0.1100	-0.0005
0.0083	0.1530	-0.0005
0.0129	0.2110	-0.0005
0.0158	0.2400	-0.0005
0.0188	0.2980	-0.0005
0.0217	0.3560	-0.0005
0.0253	0.4000	-0.0005
0.0283	0.4580	-0.0005
0.0320	0.5010	-0.0005
0.0349	0.5450	-0.0005
0.0386	0.6030	-0.0005
0.0416	0.6470	0.0001
0.0454	0.7050	0.0007
0.0483	0.7630	0.0019
0.0520	0.8060	0.0019
0.0550	0.8500	0.0030
0.0587	0.9080	0.0036
0.0616	0.9510	0.0048
0.0653	1.0090	0.0059
0.0683	1.0530	0.0065
0.0720	1.1110	0.0071
0.0749	1.1540	0.0083
0.0786	1.2120	0.0088
0.0816	1.2560	0.0100
0.0853	1.3000	0.0112
0.0882	1.3430	0.0152
0.0919	1.4010	0.0297
0.0949	1.4590	0.0814
0.0985	1.5030	0.2039
0.1015	1.5610	0.3479
0.1052	1.6040	0.3717
0.1082	1.6480	0.3821
0.1118	1.7060	0.3920
0.1148	1.7490	0.3978
0.1185	1.8070	0.4065
0.1215	1.8510	0.4077
0.1251	1.9090	0.4169
0.1281	1.9530	0.4228
0.1318	2.0110	0.4309
0.1348	2.0540	0.4361
0.1384	2.0980	0.4402
0.1414	2.1560	0.4454
0.1450	2.1990	0.4529
0.1480	2.2570	0.4576
0.1517	2.3150	0.4640
0.1547	2.3440	0.4657
0.1583	2.4020	0.4727
0.1613	2.4460	0.4773
0.1650	2.5040	0.4831
0.1680	2.5620	0.4872
0.1716	2.6060	0.4930
0.1746	2.6490	0.4947
0.1783	2.7070	0.5011
0.1812	2.7510	0.5046
0.1849	2.8090	0.5104
0.1879	2.8520	0.5139
0.1916	2.8960	0.5174
0.1945	2.9540	0.5214
0.1982	2.9970	0.5267
0.2012	3.0560	0.5307
0.2048	3.1140	0.5360
0.2078	3.1430	0.5377
0.2115	3.2010	0.5429
0.2145	3.2440	0.5470
0.2181	3.3020	0.5516
0.2211	3.3600	0.5551
0.2247	3.4040	0.5603
0.2277	3.4470	0.5621
0.2314	3.5050	0.5673
0.2344	3.5490	0.5708
0.2380	3.6070	0.5754
0.2410	3.6650	0.5789
0.2447	3.6940	0.5824
0.2477	3.7520	0.5859
0.2513	3.8100	0.5905
0.2546	3.8540	0.5946
0.2580	3.9120	0.5987
0.2609	3.9410	0.6010
0.2646	3.9990	0.6056
0.2676	4.0570	0.6091
0.2712	4.1000	0.6137
0.2742	4.1580	0.6172
0.2779	4.2020	0.6201
0.2809	4.2450	0.6236
0.2845	4.3040	0.6283
0.2875	4.3620	0.6317
0.2912	4.4050	0.6358
0.2942	4.4630	0.6393
0.2978	4.4920	0.6422
0.3008	4.5500	0.6457
0.3045	4.5940	0.6497
0.3074	4.6520	0.6532
0.3111	4.7100	0.6579
0.3141	4.7530	0.6596
0.3177	4.7970	0.6643
0.3207	4.8550	0.6677
0.3244	4.8990	0.6718
0.3274	4.9570	0.6747
0.3310	5.0000	0.6776
0.3340	5.0580	0.6811
0.3377	5.1020	0.6851
0.3406	5.1600	0.6886
0.3443	5.2030	0.6927
0.3476	5.2610	0.6962
0.3510	5.3050	0.6985
0.3540	5.3480	0.7020
0.3576	5.4060	0.7060
0.3606	5.4640	0.7095
0.3642	5.5080	0.7130
0.3672	5.5520	0.7153
0.3709	5.5950	0.7194
0.3739	5.6530	0.7229
0.3775	5.7110	0.7264
0.3805	5.7550	0.7293
0.3842	5.7980	0.7322
0.3871	5.8560	0.7357
0.3908	5.9000	0.7391
0.3938	5.9580	0.7426
0.3974	6.0160	0.7461
0.4004	6.0450	0.7484
0.4041	6.1030	0.7519
0.4071	6.1470	0.7554
0.4107	6.2050	0.7589
0.4137	6.2630	0.7624
0.4174	6.3060	0.7658
0.4204	6.3500	0.7682
0.4240	6.3930	0.7716
0.4270	6.4510	0.7751
0.4307	6.4950	0.7780
0.4336	6.5530	0.7815
0.4373	6.5960	0.7844
0.4403	6.6540	0.7873
0.4439	6.6980	0.7908
0.4469	6.7560	0.7937
0.4506	6.8140	0.7972
0.4536	6.8580	0.7995
0.4572	6.9010	0.8030
0.4602	6.9590	0.8065
0.4639	7.0030	0.8100
0.4668	7.0610	0.8129
0.4705	7.1040	0.8163
0.4735	7.1480	0.8181
0.4771	7.2060	0.8216
0.4801	7.2490	0.8245
0.4838	7.3080	0.8280
0.4868	7.3660	0.8309
0.4904	7.3950	0.8332
0.4934	7.4530	0.8367
0.4971	7.4960	0.8396
0.5001	7.5540	0.8425
0.5037	7.6120	0.8460
